Comment,Designator,Footprint,LCSC
"1.0uF","C1,C2,C6,C11","Keebio-Parts2:C_0402","C14445"
"100nf","C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25","Keebio-Parts2:C_0402","C1525"
"0.1uF","C3,C4,C5,C7","Keebio-Parts2:C_0402","C1525"
"470pF","C8,C10","Keebio-Parts2:C_0402","C513551"
"100nF","C9","Keebio-Parts2:C_0402","C1525"
"330Î©@100MHz","FB1,FB2","Library:BEADC1608X95N","C79913"
"Conn_01x05","J1,J3","Library:CONN-SMD_X8821WRS-05-9TSN","C397435"
"Conn_01x02","J2","Library:CONN-SMD_X8821WRS-02-9TSN","C397432"
"Conn_01x03","J4,J5,J6,J7","Library:CONN-SMD_X8821WRS-03-9TSN","C397433"
"SK_6812_SIDE-A_RVS","L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14","Library:SK6812SIDE-A-RVS","C2890037"
"560ohm","R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30","Keebio-Parts2:R_0402","C186320"
"330ohm","R31,R32,R33,R34","Keebio-Parts2:R_0402","C2689453"
"TS34031","T1,T33,T35,T37","Library:CONN-SMD_TS34031","C481441"
"Touchpad","T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30","Library:row_coll",""
"CY8C4146AZI-S433","U1","Library:QFP50P900X900X160-48N","C458125"